symbol,cagr,avg_fcf_margin,wacc_7_tgr_1,wacc_7_tgr_2,wacc_7_tgr_3,wacc_7_tgr_4,wacc_7_tgr_5,wacc_8_tgr_1,wacc_8_tgr_2,wacc_8_tgr_3,wacc_8_tgr_4,wacc_8_tgr_5,wacc_9_tgr_1,wacc_9_tgr_2,wacc_9_tgr_3,wacc_9_tgr_4,wacc_9_tgr_5,wacc_10_tgr_1,wacc_10_tgr_2,wacc_10_tgr_3,wacc_10_tgr_4,wacc_10_tgr_5,wacc_11_tgr_1,wacc_11_tgr_2,wacc_11_tgr_3,wacc_11_tgr_4,wacc_11_tgr_5,wacc_12_tgr_1,wacc_12_tgr_2,wacc_12_tgr_3,wacc_12_tgr_4,wacc_12_tgr_5,wacc_13_tgr_1,wacc_13_tgr_2,wacc_13_tgr_3,wacc_13_tgr_4,wacc_13_tgr_5
MMM,-1.57,10.86,63.98,76.19,94.51,125.03,186.08,52.98,61.38,73.14,90.79,120.2,44.72,50.79,58.89,70.23,87.24,38.29,42.85,48.7,56.51,67.44,33.15,36.66,41.05,46.7,54.23,28.94,31.71,35.1,39.34,44.79,25.42,27.65,30.33,33.6,37.69
AOS,0.67,12.68,67.94,79.35,96.46,124.98,182.03,57.67,65.52,76.51,93.0,120.49,49.97,55.64,63.21,73.81,89.7,43.98,48.23,53.71,61.0,71.22,39.19,42.47,46.57,51.85,58.89,35.26,37.86,41.02,44.98,50.08,32.0,34.08,36.58,39.64,43.46
ABT,0.51,15.58,49.9,60.24,75.76,101.61,153.33,40.59,47.71,57.67,72.62,97.53,33.61,38.75,45.61,55.22,69.63,28.18,32.04,37.0,43.61,52.87,23.83,26.81,30.53,35.31,41.69,20.28,22.63,25.5,29.09,33.7,17.31,19.2,21.47,24.24,27.71
ABBV,1.75,35.79,179.66,214.02,265.57,351.49,523.32,148.75,172.4,205.51,255.18,337.96,125.57,142.67,165.46,197.38,245.25,107.55,120.37,136.85,158.83,189.6,93.13,103.02,115.39,131.29,152.48,81.34,89.15,98.69,110.62,125.96,71.51,77.79,85.33,94.54,106.05
ACN,4.19,14.31,316.1,366.81,442.88,569.66,823.22,270.56,305.46,354.32,427.61,549.76,236.42,261.65,295.29,342.38,413.02,209.89,228.81,253.13,285.56,330.97,188.68,203.28,221.52,244.98,276.26,171.34,182.86,196.94,214.54,237.18,156.9,166.16,177.28,190.87,207.86
ADBE,10.52,38.96,580.38,676.45,820.56,1060.75,1541.13,494.39,560.51,653.08,791.93,1023.34,430.01,477.8,541.53,630.74,764.57,380.02,415.86,461.94,523.38,609.39,340.1,367.75,402.31,446.76,506.01,307.5,329.32,356.0,389.35,432.23,280.39,297.94,319.01,344.75,376.93
AMD,13.64,11.73,76.85,88.86,106.88,136.9,196.95,66.12,74.39,85.96,103.31,132.24,58.09,64.06,72.03,83.18,99.91,51.86,56.34,62.09,69.77,80.53,46.88,50.34,54.66,60.21,67.62,42.82,45.55,48.88,53.05,58.41,39.44,41.64,44.27,47.49,51.51
AES,-1.02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,-3.23,16.51,66.22,78.38,96.61,126.99,187.75,55.26,63.62,75.33,92.89,122.16,47.03,53.07,61.13,72.42,89.34,40.62,45.15,50.98,58.75,69.63,35.48,38.98,43.35,48.98,56.47,31.28,34.04,37.42,41.63,47.06,27.77,29.99,32.66,35.91,39.99
A,0.48,18.54,68.89,80.77,98.59,128.29,187.7,58.2,66.37,77.82,94.99,123.61,50.18,56.09,63.97,75.0,91.55,43.94,48.37,54.07,61.66,72.3,38.94,42.36,46.64,52.13,59.46,34.86,37.56,40.86,44.98,50.28,31.46,33.63,36.23,39.42,43.39
