symbol,cagr,avg_fcf_margin,dcf_base_case,dcf_bull,dcf_bear
MMM,-1.57,10.86,48.70321926031687,90.7908338268013,31.709753240113947
AOS,0.67,12.68,53.70647872633029,93.00354249101747,37.85603916093222
ABT,0.51,15.58,36.99663460856801,72.62208324319684,22.626121371964185
ABBV,1.75,35.79,136.85228065529353,255.17887147000107,89.14761336150225
ACN,4.19,14.31,253.13234157885822,427.60854306105034,182.86022354154207
ADBE,10.52,38.96,461.9354668404308,791.9276243901679,329.32424476161697
AMD,13.64,11.73,62.09488090499187,103.31333977409676,45.54646175695539
AES,-1.02,1.0,-40.16070708510262,-38.7329092897877,-40.7370521606104
AFL,-3.23,16.51,50.978170812307575,92.89244536682561,34.04089288783406
A,0.48,18.54,54.06685956220083,94.99011023730962,37.55912322392312
APD,-1.77,1.0,-72.06669512921196,-67.73217180804555,-73.81698468512701
ABNB,13.38,39.66,285.1739149335399,475.1515454063911,208.89566032310083
AKAM,5.18,19.08,55.16079946611966,117.32718092378153,30.132117539671377
ALB,-10.0,1.0,-4.173169845108188,-1.9080742026406203,-5.092059853643989
ARE,4.56,40.0,34.81729496411631,108.74319243089181,5.047157075916196
ALGN,2.61,12.72,116.9087691405839,188.28279858914738,88.14388051979113
ALLE,7.52,14.64,101.03311331172148,188.05451517914082,66.02747958849305
LNT,1.23,22.3,5.958966360306232,41.01830541565425,-8.178758343532849
ALL,9.84,11.19,562.6789282274802,969.7230120607251,399.0672836714824
GOOGL,12.51,20.7,316.45463432185886,540.8629435302412,226.32895400385087
GOOG,12.51,20.7,337.6806097898178,577.1409509466994,241.50981187205468
MO,-0.89,40.0,47.35739068334821,87.77894765621592,31.041827029759617
AMZN,11.73,2.14,21.519258724557695,43.16799507296352,12.822748808348138
AMCR,1.05,5.84,-7.183754422207974,10.302217099383785,-14.23552966162469
AEE,3.41,1.0,-72.17101974900642,-68.88088319243126,-73.49656796981748
AEP,3.66,1.0,-88.18362505107625,-83.97268373463135,-89.87998235143102
AXP,10.97,26.25,560.2170544368997,968.5929345697879,396.1294717814821
AIG,-3.69,15.13,84.74029561078392,140.26217389146115,62.298945846947255
AMT,3.34,30.05,9.0761306578117,79.88170868324158,-19.451203175995463
AWK,10.67,1.0,-74.17338506292215,-70.35673533541377,-75.7070783496455
AMP,9.03,34.99,1418.3185894024077,2386.590185186239,1029.0178847908512
AME,6.36,21.94,111.57620213520337,195.91453158981494,77.63583477258895
AMGN,11.77,28.15,322.14903852666237,614.1049690925521,204.86873869696782
APH,22.31,16.11,85.11946316583946,157.23726786452255,56.22971312629452
ADI,-2.84,33.07,74.54652685156603,131.35746959313792,51.59411405091945
AON,11.25,21.17,286.643385478373,540.1013028001639,184.81161100023618
APA,-6.96,14.88,23.604366409143985,46.606117372336925,14.290669953023928
APO,30.0,22.24,527.7337410237724,927.3467784725844,367.9038649143743
AAPL,1.81,26.45,103.6962847721263,175.4814416205353,74.75604520822539
AMAT,3.23,23.54,126.22551746225749,212.52929842694058,91.45251285957957
APP,24.84,40.0,248.32167892264195,437.6951294445847,172.502310980363
APTV,5.26,5.76,58.15302618106368,120.8723315861025,32.90253013409477
ACGL,26.14,38.22,780.5793259487502,1367.606570549581,545.6149961798417
ADM,-7.54,2.99,25.142362098838014,54.695147724193006,13.171968463249552
ARES,22.39,23.26,130.89551499685513,271.3380402590474,74.636539325564
ANET,27.15,36.02,108.3238739930579,182.85256889698456,78.49895806481368
AJG,17.7,16.57,194.39338092829828,371.55366159614385,123.34565693053985
AIZ,7.93,8.57,395.29101632346567,678.8343716274505,281.24758576588954
T,1.34,14.4,14.392076805278519,38.75243372036536,4.569185584061943
ATO,3.83,1.0,-52.640419805568996,-49.66597106837648,-53.83858284274827
ADSK,12.92,30.19,229.51291523079436,394.62273797116296,163.21040643980714
ADP,7.61,18.93,171.0265845775125,293.8266240923565,121.63003426225328
AZO,5.23,11.95,1473.0873673939266,3033.5911180934154,844.828558856831
AVB,5.45,40.0,73.68308032360773,171.43234808441665,34.33241090257695
AVY,-0.68,7.37,61.417508489681005,133.642411255134,32.26783422087255
AXON,30.0,10.49,139.70422158309384,256.59215440889227,92.95353511525286
BKR,9.44,7.0,37.4551187456904,64.28366768426524,26.669979516015133
BALL,-0.53,1.0,-21.71848660035081,-17.500467332209343,-23.42074135572743
BAC,6.0,9.99,33.83026290465411,52.455117511778546,26.334052355453675
BAX,3.79,6.58,6.938420711398319,22.027562627171847,0.8601431331067683
BDX,4.99,11.79,89.9327219780189,194.2436177475386,47.93335933944372
BBY,-3.43,2.46,42.88606700833925,78.7898893447312,28.376066626231758
TECH,3.33,21.44,24.438370952095518,41.656109143444894,17.501361901957335
BIIB,-0.94,17.42,129.40286888265925,226.99449823138613,90.01066566971672
BLK,10.65,20.96,650.3434059639665,1124.1525118429113,459.9456450598385
BX,20.27,40.0,180.5965569588065,327.3379940166042,121.78546479843891
XYZ,11.33,4.07,36.73275271797319,64.18577801166346,25.703248860140167
BNY,6.87,33.44,410.5975725868983,527.9353346696819,363.38590394989416
BA,10.33,1.0,-14.661518363767321,1.5466602244008962,-21.175359187360826
BKNG,16.35,33.99,296.02965119991137,515.644142552913,207.92502363836823
BSX,16.54,12.56,37.00095315719392,68.81540569623144,24.238334189431914
BMY,1.45,27.38,71.34666864466179,132.14662581330597,46.83132513628657
AVGO,24.38,40.0,176.82684927266857,316.77480515612586,120.79047335944233
BR,6.46,12.17,96.61088313979573,183.26357304419145,61.74039658698022
BRO,17.38,23.22,83.47196056941749,160.20192512096597,52.69794309153855
BLDR,-10.0,9.94,67.46691762845603,140.39097143369892,37.883537939214335
BG,1.51,1.0,-25.163047990939805,9.051442363755484,-38.958407046238115
BXP,3.86,38.25,28.077028713568506,116.37654203600945,-7.49123578062951
CHRW,-10.0,4.37,37.066213535721765,68.35392788299963,24.373606846356516
CDNS,14.14,28.98,124.06685578844287,218.16536889615546,86.29353843721142
CPT,3.41,23.72,13.68797287979333,52.68074106246076,-2.021614694167034
CPB,6.19,8.26,24.853029361432174,58.390740235249424,11.355564446246603
COF,15.98,40.0,898.1880899608485,1527.0072731179912,645.8943453209158
CAH,7.07,1.24,184.41783208728586,329.23930618652605,126.15198817771855
CCL,29.81,1.0,-11.273988441713866,-4.379917730884926,-14.031446790074487
CARR,7.95,7.41,21.66502269216838,46.51925272631364,11.668525300699287
CVNA,14.31,1.0,2.858540476251312,7.6918285886610835,0.9184413383382738
CASY,7.16,3.1,169.08732222687067,334.5274677340514,102.52819597409719
CAT,4.38,11.98,188.13887266981976,378.78930837653667,111.3580808137204
CBOE,6.0,25.83,199.61932181129896,335.7476630680269,144.8296799199031
CBRE,9.57,2.96,48.99198296414016,105.5781173177957,26.245157119841448
CDW,-1.89,5.56,72.43728266899639,150.13143672657964,41.062289468295745
COR,10.43,1.06,286.5507217059461,538.8893706690806,185.14261485892135
CNC,10.45,2.57,218.2064284725589,363.55892040785847,159.79352513499595
CNP,0.13,1.0,-34.047152246947434,-32.78603601960966,-34.55594563540808
CF,-10.0,25.2,85.55048319712564,145.91837224611535,61.06081086563654
CRL,0.33,10.39,53.949491015530185,131.0811184943416,22.833761801805675
SCHW,4.83,38.15,104.74673950625642,162.86298555234066,81.34560769585403
CHTR,0.46,7.54,-296.4086141021148,-34.26392878717569,-402.1543341055861
CVX,-7.85,10.7,70.01973819639682,127.84663476710683,46.59251052761092
CMG,11.36,11.91,19.6731444710645,36.24248746901533,13.016322138479762
CB,11.56,25.46,778.7856765329273,1370.9380973198354,540.899874730581
CHD,4.89,15.13,55.22765117546451,99.20337376458313,37.52072283501618
CIEN,9.5,4.41,26.09177940472919,46.544824139444835,17.869763624592764
CI,15.29,2.75,609.9405240405572,1118.1010770680468,406.0189100913119
CINF,24.39,24.75,700.6015404168897,1224.8306526825986,490.69608393337626
CTAS,9.6,16.26,74.63830705427412,132.67751020254926,51.30760399058151
CSCO,3.19,25.14,49.45878592651762,86.46432644367961,34.54848696483823
C,4.59,1.0,143.30073993768232,148.7707872484849,141.09795962416976
CFG,0.93,33.11,88.9273262858809,148.16604874732047,65.03613267347559
CLX,-0.01,9.41,44.172614111391454,92.56487031367458,24.647656601067492
CME,9.11,40.0,133.84038775457896,231.3918382590471,94.62019730245964
CMS,-0.22,1.0,-57.66147434304407,-55.26641600854,-58.62790593820808
KO,3.69,16.15,20.10117410651134,38.97295001233387,12.498857394023153
CTSH,2.8,10.87,71.64670929093347,120.37815168222657,52.00869303673224
COHR,20.55,3.59,26.764525657031776,50.429869115220754,17.2805393498575
COIN,30.0,13.28,192.89425532040374,331.40803317193894,137.494060935376
CL,4.29,15.36,52.64328661477622,94.88383910431544,35.63112376148775
CMCSA,0.62,11.69,30.014319359009466,66.68744775398676,15.221909688850962
FIX,30.0,9.6,1046.8256846936501,1849.5755362798777,725.7565570571445
CAG,0.22,9.01,13.350246648486493,32.73172861890649,5.531174908480944
COP,-9.11,16.39,54.22502713101774,97.48889178570649,36.68410822375746
ED,2.59,1.0,-66.70895823164712,-62.143162341264095,-68.54906644978806
STZ,-1.12,18.0,53.135689764722784,132.28631942286117,21.18433754439122
CEG,1.47,1.0,-50.64137962927418,-43.906902010976665,-53.35678658568756
COO,7.35,9.4,22.93689602761099,47.496842458718405,13.05668357890474
CPRT,9.9,23.76,27.854507213873898,44.559512653216345,21.14005912023982
GLW,3.27,7.12,9.755523661803686,23.04742464993318,4.40011881051372
CPAY,9.73,35.63,360.0913858616877,703.2421211531872,222.15712740114571
CTVA,-0.1,8.42,26.11177832000455,45.20397394930194,18.408286965835657
CSGP,14.16,6.02,11.30549777744204,19.405413670583954,8.054020419429623
COST,6.64,2.44,262.3991469868899,445.352533126573,188.78038002912487
CRH,4.6,7.67,41.94612332568379,89.00751049298785,22.99462660746826
CRWD,29.01,28.33,233.77612504433722,400.3386771764707,167.14512311886875
CCI,-10.0,40.0,-36.11221780543804,-15.813214707156495,-44.3469919935727
CSX,-1.74,19.01,7.4101150161552,18.986678594235407,2.7355396657381292
CMI,6.25,4.93,166.31953887150402,308.665465793159,109.03264738117737
CVS,7.63,2.68,98.79923941446114,205.37094122856416,55.930828859432424
DHR,-2.67,23.89,75.5982594983555,139.13061151675652,49.932498337770525
DRI,7.84,8.77,97.63202110246951,215.4717623394515,50.23446886940644
DDOG,26.95,26.19,113.50260606299972,191.38741943496544,82.33341451735663
DVA,5.53,10.4,166.5531729942078,419.6173521470079,64.68081938600245
DECK,14.69,18.47,184.27499430004258,310.28523596331297,133.69941457884292
DE,-4.5,6.15,-38.9679669330978,32.014356471682454,-67.67035417374785
DELL,3.53,4.18,159.71965850936115,311.84116138645635,98.43518758395412
DAL,7.8,3.18,30.28339828263501,69.25940076906384,14.606239516594929
DVN,-3.57,11.43,12.790169004899333,25.243704191035956,7.756902968706556
DXCM,17.01,15.84,52.57963982768845,89.19022853512243,37.89484280169749
FANG,15.99,1.0,-35.4846315541763,-25.763408124435983,-39.384950556180485
DLR,9.22,36.35,72.37623881194301,158.2274432473367,37.8612936641013
DG,4.13,3.17,29.15356511000557,94.80901990947551,2.7094358750280843
DLTR,8.0,7.82,109.12054754047428,210.5277711528172,68.3347087375698
D,5.8,1.0,-55.857708726667305,-53.68217347858992,-56.73339347237654
DPZ,2.88,10.97,90.97330174776515,255.23230535195233,24.781441107105106
DASH,27.73,11.51,155.45257285263588,269.0984870829191,109.97891077858299
DOV,1.04,10.96,76.85756250678469,137.6160786316411,52.3546484538331
DOW,-10.0,2.91,-7.928316304014654,0.4549497520643766,-11.329187893452914
DHI,0.76,7.01,96.4760176646784,173.50124779139836,65.40915767259017
DTE,-6.31,1.0,-121.08751095867412,-116.26787467978706,-123.03831159368029
DUK,3.87,1.0,-107.93634579238142,-103.56215372834178,-109.69832285270869
DD,-10.0,1.0,-4.795105358979412,-3.9168036472557213,-5.1514093720424485
ETN,9.77,12.19,114.03934323749978,234.04512592020956,65.80191153271412
EBAY,4.26,17.46,60.2330847817906,107.28023733372872,41.28482129859927
SATS,-6.97,1.0,-165.99070009324484,-160.19354414424583,-168.33805048371045
ECL,4.26,10.42,61.34222597340319,125.50559083546132,35.50046808707035
EIX,3.9,1.0,-102.84696773294435,-97.52724525146982,-104.98978466615685
EW,10.77,15.18,37.68953404301206,60.98418668418783,28.329046939257594
EA,0.47,25.45,105.34733915846192,173.89104431211223,77.69779837467158
ELV,8.34,3.19,562.0564902044742,943.1151210994001,408.81327788766134
EME,15.32,6.68,632.4290902427499,1086.9544190943075,450.032333456331
EMR,9.28,13.07,58.55909425240342,115.79506090838585,35.54888344096462
ETR,-2.02,1.0,-63.23544047149748,-60.99711134994452,-64.13939296534444
EOG,-8.51,20.72,69.18447552429906,118.66091271527065,49.13215026543949
EQT,-10.0,21.21,14.294356042351806,29.006618410858657,8.325976323669886
EFX,5.85,11.34,53.007194708104855,120.23118047821845,25.94905592136555
EQIX,8.27,3.13,-169.15277132466787,-131.1619166613392,-184.43122118102085
EQR,4.19,40.0,28.158518713388737,63.644280221508964,13.866258659621787
ERIE,13.32,11.39,235.65203991872082,402.4925929249035,168.66236964906895
ESS,5.51,40.0,86.22042615085937,220.56926561348362,32.13724995433204
EL,-6.87,3.85,-3.746002512357261,9.971313621647102,-9.300033125722255
EG,12.84,27.29,2626.7367197713475,4522.707435351251,1865.3606500362018
EVRG,0.58,1.0,-65.36528428750108,-63.03357978441185,-66.30581412886004
ES,3.3,1.0,-74.58593609953745,-70.87753615139364,-76.08006139710557
EXC,8.34,1.0,-45.01677259070504,-41.924830574359945,-46.260201907671814
EXE,2.13,10.22,61.942220238252716,112.59059009946193,41.52600063592394
EXPE,8.09,19.07,456.73876980933875,773.1871258877271,329.46773836143615
EXPD,-10.0,9.48,71.90267762616831,113.58146793037423,54.99468342921155
EXR,20.63,40.0,126.44580825580748,268.8215385363365,69.38921953709732
XOM,-6.69,10.25,67.38800962881555,117.13560173865906,47.247738438838994
FFIV,4.63,23.22,221.4198977537955,360.852743826954,165.27140202125722
FDS,7.98,27.24,280.18289591656657,502.93974231702947,190.5900520838877
FICO,13.07,34.94,521.2221519854619,1005.0937885517993,326.9243318600118
