symbol,name,sector,current_price,market_cap,pe_ratio,ev_ebitda,altman_z_score,z_score_zone,ml_fair_value,ml_upside,dcf_base_case,dcf_bull,dcf_bear,dcf_upside,cagr,avg_fcf_margin
MMM,3M Company,Industrials,153.11,79857164288.0,29.500963,13.948,4.202,safe,142.03988466983168,-7.2,48.70321926031687,90.7908338268013,31.709753240113947,-68.2,-1.57,10.86
AOS,A. O. Smith Corporation,Industrials,57.56,7933415936.0,15.349334,10.45,7.607,safe,70.39326878158367,22.3,53.70647872633029,93.00354249101748,37.85603916093222,-6.7,0.67,12.68
ABT,Abbott Laboratories,Healthcare,91.67,159672008704.0,25.677872,15.804,4.619,safe,91.1996681177894,-0.5,36.99663460856801,72.62208324319684,22.626121371964185,-59.6,0.51,15.58
ABBV,AbbVie Inc.,Healthcare,229.4,405302280192.0,111.902435,15.41,2.186,grey,225.01803239102023,-1.9,136.85228065529353,255.17887147000107,89.14761336150225,-40.3,1.75,35.79
ACN,Accenture plc,Technology,178.855,110073651200.0,14.660246,8.662,,,,,253.13234157885825,427.6085430610504,182.86022354154207,41.5,4.19,14.31
ADBE,Adobe Inc.,Technology,252.12,101906898944.0,14.692307,10.953,7.408,safe,258.0740648787729,2.4,461.9354668404308,791.9276243901679,329.32424476161697,83.2,10.52,38.96
AMD,"Advanced Micro Devices, Inc.",Technology,471.224,768378142720.0,158.12886,113.682,34.168,safe,522.728551684322,10.9,62.09488090499187,103.31333977409676,45.54646175695539,-86.8,13.64,11.73
AES,The AES Corporation,Utilities,14.71,10490549248.0,7.6614585,12.913,0.454,distress,25.929870353936703,76.3,-40.16070708510262,-38.7329092897877,-40.7370521606104,-373.0,-1.02,1.0
AFL,Aflac Incorporated,Financial Services,118.43,60279083008.0,13.534857,11.033,,not applicable,,,50.978170812307575,92.8924453668256,34.04089288783406,-57.0,-3.23,16.51
A,,Healthcare,136.18,38461579264.0,27.34538,20.256,5.189,safe,137.9969346810147,1.3,54.06685956220083,94.99011023730962,37.55912322392312,-60.3,0.48,18.54
APD,"Air Products and Chemicals, Inc.",Basic Materials,283.87,63212363776.0,29.881052,21.398,2.531,grey,294.9857894366286,3.9,-72.06669512921196,-67.73217180804555,-73.81698468512701,-125.4,-1.77,1.0
ABNB,"Airbnb, Inc.",Consumer Cyclical,133.05,78965825536.0,32.851852,26.687,4.261,safe,246.74737816347448,85.5,285.1739149335399,475.1515454063911,208.89566032310083,114.3,13.38,39.66
AKAM,"Akamai Technologies, Inc.",Technology,149.23,21695870976.0,50.41554,24.456,3.111,safe,158.62529716264388,6.3,55.16079946611966,117.32718092378153,30.132117539671377,-63.0,5.18,19.08
ALB,Albemarle Corporation,Basic Materials,156.19,18420213760.0,29.881052,21.494,2.499,grey,186.52825378692137,19.4,-4.173169845108188,-1.9080742026406203,-5.092059853643989,-102.7,-10.0,1.0
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,51.73,9014960128.0,31.9546975,13.623,,not applicable,,,34.81729496411631,108.7431924308918,5.047157075916196,-32.7,4.56,40.0
ALGN,"Align Technology, Inc.",Healthcare,167.635,12005704704.0,28.126677,12.475,4.952,safe,168.6926828455036,0.6,116.9087691405839,188.28279858914735,88.14388051979113,-30.3,2.61,12.72
ALLE,Allegion plc,Industrials,130.07,11177678848.0,17.744884,12.98,4.216,safe,128.48514284391706,-1.2,101.03311331172148,188.0545151791408,66.02747958849305,-22.3,7.52,14.64
LNT,Alliant Energy Corporation,Utilities,73.08,18874886144.0,22.981133,16.252,1.187,distress,71.40461782516113,-2.3,5.958966360306232,41.01830541565425,-8.178758343532849,-91.8,1.23,22.3
ALL,The Allstate Corporation,Financial Services,220.675,56806363136.0,4.88219,3.932,,not applicable,,,562.6789282274802,969.7230120607252,399.0672836714824,155.0,9.84,11.19
GOOGL,Alphabet Inc.,Communication Services,366.8701,4463474507776.0,28.00535,27.762,,,,,316.45463432185886,540.8629435302412,226.32895400385087,-13.7,12.51,20.7
GOOG,Alphabet Inc.,Communication Services,364.45,4431597797376.0,27.784136,27.543,,,,,337.6806097898178,577.1409509466994,241.50981187205468,-7.3,12.51,20.7
MO,"Altria Group, Inc.",Consumer Defensive,72.8,121568083968.0,15.198331,8.805,4.781,safe,81.95826541720845,12.6,47.35739068334821,87.77894765621592,31.041827029759617,-34.9,-0.89,40.0
AMZN,"Amazon.com, Inc.",Consumer Cyclical,249.67,2685727670272.0,31.13092,18.109,5.714,safe,253.35810887626636,1.5,21.51925872455769,43.16799507296352,12.822748808348138,-91.4,11.73,2.14
AMCR,Amcor plc,Consumer Cyclical,37.99,17564514304.0,30.392002,10.179,1.175,distress,36.11742630065395,-4.9,-7.183754422207974,10.302217099383784,-14.23552966162469,-118.9,1.05,5.84
AEE,Ameren Corporation,Utilities,109.95,30428839936.0,19.775179,13.334,0.98,distress,108.73209675494722,-1.1,-72.17101974900642,-68.88088319243126,-73.49656796981748,-165.6,3.41,1.0
