symbol,name,sector,pe_ratio,forward_pe,ps_ratio,pb_ratio,ev_ebitda,ev_revenue,gross_margin,ebitda_margin,net_margin,roe,roa,debt_to_equity,current_ratio,beta,revenue,market_cap,fifty_two_week_position
MMM,3M Company,Industrials,29.500963,16.19317,3.191223,24.474104,13.948,3.478,0.3971387416879795,0.2493606138107416,0.1113730843989769,0.71458,0.08118,396.497,1.594,1.095,25024000000.0,79857164288.0,36.17021276595748
AOS,A. O. Smith Corporation,Industrials,15.349334,13.772181,2.0812235,4.2245874,10.45,2.18,0.3876544519045167,0.2086361100839651,0.1384086710793128,0.28267,0.12775,34.981,1.558,1.175,3811899904.0,7933415936.0,12.269938650306765
ABT,Abbott Laboratories,Healthcare,25.677872,15.12252,3.5377324,3.0670145,15.804,4.112,0.565028560102724,0.2602029504740112,0.1385208543064946,0.123339996,0.0559,64.773,1.388,0.62,45134000128.0,159672008704.0,16.990716412681735
ABBV,AbbVie Inc.,Healthcare,111.902435,14.126094,6.4519057,-60.897266,15.41,7.338,0.7202598086807631,0.476209437902752,0.057227909481002,0.142364995,0.10032,71.599,0.796,0.309,62819000320.0,405302280192.0,75.570703868104
ACN,Accenture plc,Technology,14.660246,12.0153675,1.5264617,3.5234032,8.662,1.53,0.3202601411185193,0.1766087278316574,0.1060633704173686,0.24763,0.11163,25.469,1.336,1.069,72110325760.0,110073651200.0,13.880686953901778
ADBE,Adobe Inc.,Technology,14.692307,9.56201,4.16746,8.953125,10.953,4.262,0.8939598612756964,0.3891547286540193,0.2947695679568266,0.58774,0.18905,58.34,0.912,1.404,24452999168.0,101906898944.0,14.182923739549029
AMD,"Advanced Micro Devices, Inc.",Technology,158.12886,36.22284,20.51525,11.915544,113.682,22.552,0.5305975157815859,0.1983766781280447,0.1316815220575843,0.08063,0.03647,6.005,2.725,2.492,37454000128.0,768378142720.0,82.57800013897574
AES,The AES Corporation,Utilities,7.6614585,6.1579294,0.84011763,2.3733463,12.913,3.883,0.1930007095097264,0.3007127448349791,0.1105149349665287,0.052600004,0.027139999,259.603,0.73,0.946,12487000064.0,10490549248.0,61.4678899082569
AFL,Aflac Incorporated,Financial Services,13.534857,15.575333,3.3281295,2.018028,11.033,3.582,0.5004969045936396,0.3246466431095406,0.2559629116607774,0.16469,0.03088,48.276,0.935,0.61,18112000000.0,60279083008.0,93.96325459317588
A,,Healthcare,27.34538,20.619305,5.318249,5.396259,20.256,5.644,0.526410407079646,0.278622796460177,0.1955199115044247,0.21330999,0.08613,49.733,2.099,1.256,7232000000.0,38461579264.0,53.60169491525425
APD,"Air Products and Chemicals, Inc.",Basic Materials,29.881052,19.942308,5.071636,4.0391293,21.398,6.657,0.3198356944922668,0.3111064842873806,0.1697141366457831,0.12353,0.03599,101.611,1.427,0.747,12463899648.0,63212363776.0,69.44831959416615
ABNB,"Airbnb, Inc.",Consumer Cyclical,32.851852,22.045702,6.2438383,10.366995,26.687,5.526,0.8291294032526068,0.2070846881273488,0.1990195242557721,0.32325,0.06245,33.185,1.442,1.159,12647000064.0,78965825536.0,61.031833150384216
AKAM,"Akamai Technologies, Inc.",Technology,50.41554,20.834263,5.0849943,4.4247756,24.456,6.574,0.5828416209534454,0.2688228711026961,0.1019955736585765,0.091680005,0.03393,119.534,2.057,0.598,4266646016.0,21695870976.0,83.04588690289538
ALB,Albemarle Corporation,Basic Materials,29.881052,12.93304,3.3524318,2.4179142,21.494,4.176,0.1853072424288366,0.1942848121441644,-0.0727325483499349,-0.0182,0.01605,19.845,2.068,1.309,5494582784.0,18420213760.0,60.74500302846759
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,31.9546975,-58.784092,3.0766215,0.5612638,13.623,8.65,0.6859026314674388,0.6349792654921262,-0.3643207018760874,-0.04144,0.01001,66.509,0.797,1.202,2930149120.0,9014960128.0,25.230391152979724
ALGN,"Align Technology, Inc.",Healthcare,28.126677,13.548649,2.9312313,2.8933015,12.475,2.712,0.7014746259432361,0.2174076808705648,0.1049595069771093,0.10824,0.073309995,2.797,1.393,1.671,4095789056.0,12005704704.0,52.873363457305054
ALLE,Allegion plc,Industrials,17.744884,13.6492815,2.687588,5.319619,12.98,3.154,0.4496994477564884,0.2429910998914569,0.1523683477394627,0.34179002,0.11034001,105.863,1.908,0.875,4159000064.0,11177678848.0,8.724832214765087
LNT,Alliant Energy Corporation,Utilities,22.981133,19.829437,4.2722697,2.5430632,16.252,6.827,0.4522408460585849,0.4200996047471139,0.1858306980050541,0.113120005,0.02617,159.526,0.688,0.552,4417999872.0,18874886144.0,83.39529120198262
ALL,The Allstate Corporation,Financial Services,4.88219,8.406606,0.8332555,1.9230602,3.932,0.856,0.3442808036484885,0.2176783008791794,0.1764162259133793,0.45221,0.07521,23.719,0.364,0.192,68174000128.0,56806363136.0,82.43550834597877
GOOGL,Alphabet Inc.,Communication Services,28.00535,25.371023,10.5644865,9.284559,27.762,10.6,0.6036785956709119,0.3818148066453972,0.379192307262757,0.38884997,0.14641,20.026,1.922,1.237,422498009088.0,4463474507776.0,83.07453063541624
