symbol,name,sector,industry,current_price,market_cap,enterprise_value,pe_ratio,forward_pe,ps_ratio,pb_ratio,ev_ebitda,ev_revenue,peg_ratio,beta,revenue,gross_profit,ebitda,net_income,earnings_per_share,free_cash_flow,operating_cash_flow,total_debt,total_cash,shares_outstanding,roe,roa,debt_to_equity,current_ratio,quick_ratio,fifty_two_week_high,fifty_two_week_low,dividend_yield,payout_ratio,analyst_target_price,recommendation,gross_margin,ebitda_margin,net_margin,fcf_margin,fifty_two_week_position,net_debt,p_fcf,altman_z_score,z_score_zone
MMM,3M Company,Industrials,Conglomerates,153.11,79857164288.0,87036829696.0,29.500963,16.19317,3.191223,24.474104,13.948,3.478,1.59,1.095,25024000000.0,9937999872.0,6240000000.0,2787000064.0,5.19,2322374912.0,2959000064.0,13127999488.0,5818999808.0,521567261.0,0.71458,0.08118,396.497,1.594,1.06,177.41,139.34,2.04,0.5723,172.19942,buy,0.3971387416879795,0.2493606138107416,0.1113730843989769,0.0928059028132992,36.17021276595748,7308999680.0,34.38599121919467,4.202,safe
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,57.56,7933415936.0,8310609920.0,15.349334,13.772181,2.0812235,4.2245874,10.45,2.18,1.47,1.175,3811899904.0,1477699968.0,795299968.0,527600000.0,3.75,495612512.0,707500032.0,656899968.0,203900000.0,111965465.0,0.28267,0.12775,34.981,1.558,0.954,81.87,54.16,2.49,0.37330002,70.90909,hold,0.3876544519045167,0.2086361100839651,0.1384086710793128,0.1300171894545109,12.269938650306765,452999968.0,13.0035703485226,7.607,safe
ABT,Abbott Laboratories,Healthcare,Medical Devices,91.67,159672008704.0,185602736128.0,25.677872,15.12252,3.5377324,3.0670145,15.804,4.112,1.29,0.62,45134000128.0,25501999104.0,11744000000.0,6252000256.0,3.57,6341125120.0,9464000512.0,34136000512.0,7295000064.0,1741813154.0,0.123339996,0.0559,64.773,1.388,0.844,139.06,81.97,2.78,0.67230004,117.29167,buy,0.565028560102724,0.2602029504740112,0.1385208543064946,0.1404955266986434,16.990716412681735,26841000448.0,25.18039130367767,4.619,safe
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,229.4,405302280192.0,460987367424.0,111.902435,14.126094,6.4519057,-60.897266,15.41,7.338,0.6,0.309,62819000320.0,45246001152.0,29915000832.0,3595000064.0,2.05,20811624448.0,21223999488.0,72912003072.0,9390999552.0,1766792821.0,0.142364995,0.10032,71.599,0.796,0.519,244.81,181.73,3.08,3.2598002,252.89655,buy,0.7202598086807631,0.476209437902752,0.057227909481002,0.3312950594881418,75.570703868104,63521003520.0,19.4748023706698,2.186,grey
ACN,Accenture plc,Technology,Information Technology Services,178.855,110073651200.0,110315290624.0,14.660246,12.0153675,1.5264617,3.5234032,8.662,1.53,1.31,1.069,72110325760.0,23094063104.0,12735312896.0,7648264192.0,12.2,12164313088.0,13080248320.0,8347366912.0,9405595648.0,613939268.0,0.24763,0.11163,25.469,1.336,1.2,321.77,155.82,3.65,0.5098,241.54884,buy,0.3202601411185193,0.1766087278316574,0.1060633704173686,0.1686903083545299,13.880686953901778,-1058228736.0,9.026905751584351,,
ADBE,Adobe Inc.,Technology,Software - Application,252.12,101906898944.0,104224366592.0,14.692307,9.56201,4.16746,8.953125,10.953,4.262,0.74,1.404,24452999168.0,21859999744.0,9516000256.0,7208000000.0,17.16,9321374720.0,10506999808.0,6670000128.0,6898999808.0,404200000.0,0.58774,0.18905,58.34,0.912,0.789,421.48,224.13,0.0,0.0,327.2847,hold,0.8939598612756964,0.3891547286540193,0.2947695679568266,0.3811955603465712,14.182923739549029,-228999680.0,10.9326045847452,7.408,safe
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,471.224,768378142720.0,844654247936.0,158.12886,36.22284,20.51525,11.915544,113.682,22.552,1.31,2.492,37454000128.0,19872999424.0,7430000128.0,4931999744.0,2.98,7173374976.0,9724999680.0,3871000064.0,12346999808.0,1630600639.0,0.08063,0.03647,6.005,2.725,1.75,546.44,114.71,0.0,0.0,482.6875,strong_buy,0.5305975157815859,0.1983766781280447,0.1316815220575843,0.1915249359610404,82.57800013897574,-8475999744.0,107.11529204633844,34.168,safe
AES,The AES Corporation,Utilities,Utilities - Diversified,14.71,10490549248.0,48488812544.0,7.6614585,6.1579294,0.84011763,2.3733463,12.913,3.883,0.81,0.946,12487000064.0,2409999872.0,3755000064.0,1380000000.0,1.92,-2964999936.0,4961999872.0,31804000256.0,1651000064.0,713157713.0,0.052600004,0.027139999,259.603,0.73,0.417,17.65,10.02,4.78,0.3666,15.11111,none,0.1930007095097264,0.3007127448349791,0.1105149349665287,-0.2374469384802911,61.4678899082569,30153000192.0,-3.538128224172077,0.454,distress
AFL,Aflac Incorporated,Financial Services,Insurance - Life,118.43,60279083008.0,64874868736.0,13.534857,15.575333,3.3281295,2.018028,11.033,3.582,1.18,0.61,18112000000.0,9064999936.0,5880000000.0,4636000256.0,8.75,4923125248.0,2934000128.0,14464000000.0,8270000128.0,508984904.0,0.16469,0.03088,48.276,0.935,0.814,119.81,96.95,2.12,0.26860002,112.42857,hold,0.5004969045936396,0.3246466431095406,0.2559629116607774,0.2718156607773851,93.96325459317588,6193999872.0,12.244068380183531,,not applicable
A,,Healthcare,Diagnostics & Research,136.18,38461579264.0,40815108096.0,27.34538,20.619305,5.318249,5.396259,20.256,5.644,1.33,1.256,7232000000.0,3807000064.0,2015000064.0,1414000000.0,4.98,930625024.0,1452000000.0,3542000128.0,1807000064.0,282431944.0,0.21330999,0.08613,49.733,2.099,1.457,160.27,108.35,0.74,0.202,161.0,strong_buy,0.526410407079646,0.278622796460177,0.1955199115044247,0.1286815575221239,53.60169491525425,1735000064.0,41.328764155303865,5.189,safe
