symbol,name,current_price,fair_value_per_share,upside_pct,predicted_ev
MMM,3M Company,153.11,142.03988466983168,-7.2,8.139235e+10
AOS,A. O. Smith Corporation,57.56,70.39326878158367,22.3,8.334615e+09
ABT,Abbott Laboratories,91.67,91.1996681177894,-0.5,1.8569378e+11
ABBV,AbbVie Inc.,229.4,225.01803239102023,-1.9,4.6108125e+11
ADBE,Adobe Inc.,252.12,258.0740648787729,2.4,1.0408454e+11
AMD,"Advanced Micro Devices, Inc.",471.224,522.728551684322,10.9,8.438855e+11
AES,The AES Corporation,14.71,25.929870353936703,76.3,4.8645087e+10
A,,136.18,137.9969346810147,1.3,4.0709743e+10
APD,"Air Products and Chemicals, Inc.",283.87,294.9857894366286,3.9,8.317564e+10
ABNB,"Airbnb, Inc.",133.05,246.74737816347448,85.5,9.365219e+10
AKAM,"Akamai Technologies, Inc.",149.23,158.62529716264388,6.3,2.799907e+10
ALB,Albemarle Corporation,156.19,186.52825378692137,19.4,2.2914327e+10
ALGN,"Align Technology, Inc.",167.635,168.6926828455036,0.6,1.1137664e+10
ALLE,Allegion plc,130.07,128.48514284391706,-1.2,1.2956981e+10
LNT,Alliant Energy Corporation,73.08,71.40461782516113,-2.3,3.0167173e+10
MO,"Altria Group, Inc.",72.8,81.95826541720845,12.6,1.5793239e+11
AMZN,"Amazon.com, Inc.",249.67,253.35810887626633,1.5,2.817852e+12
AMCR,Amcor plc,37.99,36.11742630065395,-4.9,3.1874736e+10
AEE,Ameren Corporation,109.95,108.73209675494722,-1.1,5.1382784e+10
AEP,"American Electric Power Company, Inc.",129.915,130.5677287101436,0.5,1.2233456e+11
AMT,American Tower Corporation,194.605,206.12854261628863,5.9,1.3955626e+11
AWK,"American Water Works Company, Inc.",126.065,123.09560374431815,-2.4,3.9564173e+10
AME,"AMETEK, Inc.",227.245,202.92738357763744,-10.7,4.848595e+10
AMGN,Amgen Inc.,354.35,345.62460545861484,-2.5,2.3182146e+11
APH,Amphenol Corporation,139.895,140.1063025511369,0.2,1.865294e+11
ADI,"Analog Devices, Inc.",409.72,391.3983062082703,-4.5,1.9591447e+11
AON,Aon plc,329.625,324.564841686169,-1.5,8.355057e+10
APA,APA Corporation,36.935,41.02229176999397,11.1,1.8743159e+10
AAPL,Apple Inc.,312.4,309.45144135568034,-0.9,4.5612275e+12
AMAT,"Applied Materials, Inc.",464.18,496.6982342057452,7.0,3.9338525e+11
APP,AppLovin Corporation,554.395,559.8031719283556,1.0,1.7224091e+11
APTV,Aptiv PLC,69.2,74.51145727465276,7.7,2.2481154e+10
ADM,Archer-Daniels-Midland Company,81.85,84.09696081987079,2.7,5.056408e+10
ARES,Ares Management Corporation,125.38,109.44992682716057,-12.7,3.7010694e+10
ANET,"Arista Networks, Inc.",153.83,166.226239706431,8.1,1.969538e+11
AJG,Arthur J. Gallagher & Co.,215.7,209.95882812463512,-2.7,6.590624e+10
T,AT&T Inc.,22.905,25.3004529178232,10.5,3.235831e+11
ATO,Atmos Energy Corporation,171.57,168.60758348999437,-1.7,3.7647487e+10
ADSK,"Autodesk, Inc.",232.215,233.65306643813648,0.6,4.9134735e+10
ADP,"Automatic Data Processing, Inc.",234.11,209.638942101043,-10.5,8.496947e+10
AVB,"AvalonBay Communities, Inc.",190.56,185.09229894997867,-2.9,3.565956e+10
AVY,Avery Dennison Corporation,154.78,153.50810494678515,-0.8,1.5230294e+10
AXON,"Axon Enterprise, Inc.",485.2,729.4779197315225,50.3,5.990082e+10
BKR,Baker Hughes Company,63.55,66.685709689316,4.9,6.6386805e+10
BALL,Ball Corporation,53.015,52.65109052264726,-0.7,2.146317e+10
BAX,Baxter International Inc.,19.47,19.34263024742813,-0.7,1.765987e+10
BDX,"Becton, Dickinson and Company",152.62,138.4993456223395,-9.3,5.462517e+10
BBY,"Best Buy Co., Inc.",71.01,71.16376808360602,0.2,1.7370864e+10
TECH,Bio-Techne Corporation,51.65,53.581099181151416,3.7,8.465334e+09
BIIB,Biogen Inc.,198.2,196.67109115927806,-0.8,3.1315153e+10
BLK,"BlackRock, Inc.",996.93,1061.1810762654563,6.4,1.6655137e+11
XYZ,"Block, Inc.",68.01,78.63817657489327,15.6,4.289918e+10
BA,The Boeing Company,215.622,217.00208431325822,0.6,2.0049925e+11
BKNG,Booking Holdings Inc.,166.19,166.9453373303061,0.5,1.3251434e+11
BSX,Boston Scientific Corporation,49.01,48.832646668498604,-0.4,8.215866e+10
BMY,Bristol-Myers Squibb Company,57.545,83.5003199866317,45.1,2.064566e+11
AVGO,Broadcom Inc.,391.005,299.0837926157826,-23.5,1.4613415e+12
BR,"Broadridge Financial Solutions, Inc.",152.875,127.77880774087483,-16.4,1.788038e+10
BRO,"Brown & Brown, Inc.",59.18,57.99962426667294,-2.0,2.6774847e+10
BLDR,"Builders FirstSource, Inc.",73.785,74.92161006210159,1.5,1.3252136e+10
BG,Bunge Global SA,126.63,136.06209849013325,7.4,4.0988512e+10
BXP,"BXP, Inc.",62.05,77.31420005485292,24.6,2.8179458e+10
CHRW,"C.H. Robinson Worldwide, Inc.",184.75,184.47574535320808,-0.1,2.3229538e+10
CDNS,"Cadence Design Systems, Inc.",385.075,410.10754485599097,6.5,1.1465142e+11
CPT,Camden Property Trust,113.12,118.65601712598439,4.9,1.599208e+10
CPB,The Campbell's Company,21.66,21.619697442151324,-0.2,1.3297837e+10
CAH,"Cardinal Health, Inc.",206.78,203.5040231082182,-1.6,5.2640834e+10
CCL,Carnival Corporation Ltd.,27.29,31.069634896882487,13.8,6.3678284e+10
CARR,Carrier Global Corporation,66.85,69.24642949837502,3.6,6.871673e+10
CASY,"Casey's General Stores, Inc.",766.09,762.3329179364285,-0.5,3.0605787e+10
CAT,Caterpillar Inc.,910.11,804.025485054958,-11.7,4.100777e+11
CBOE,"Cboe Global Markets, Inc.",284.34,288.89297594819885,1.6,2.9682143e+10
CBRE,"CBRE Group, Inc.",131.82,114.09678242296519,-13.4,4.232643e+10
CDW,CDW Corporation,133.7636,127.92849977884354,-4.4,2.1911007e+10
COR,"Cencora, Inc.",276.98,271.14739905302736,-2.1,6.567034e+10
CNC,Centene Corporation,62.43,115.4383427359826,84.9,4.963311e+10
CNP,"CenterPoint Energy, Inc.",42.895,46.63702598904492,8.7,5.399752e+10
CF,"CF Industries Holdings, Inc.",114.765,134.98059709635808,17.6,2.2314971e+10
CRL,"Charles River Laboratories International, Inc.",183.825,209.27551786227002,13.8,1.2953029e+10
CHTR,"Charter Communications, Inc.",130.06,239.14315043546083,83.9,1.3006684e+11
CVX,Chevron Corporation,188.39,189.70218464980658,0.7,4.1791144e+11
CMG,"Chipotle Mexican Grill, Inc.",29.67,28.4900530772553,-4.0,4.0919618e+10
CHD,"Church & Dwight Co., Inc.",97.63,84.43879103348822,-13.5,2.1881231e+10
CIEN,Ciena Corporation,500.37,536.1671842485976,7.2,7.629264e+10
CI,The Cigna Group,289.49,279.999921733596,-3.3,9.711705e+10
CTAS,Cintas Corporation,182.42,180.4782211015435,-1.1,7.4950975e+10
CSCO,"Cisco Systems, Inc.",122.67,130.15661089183627,6.1,5.2936478e+11
CLX,The Clorox Company,94.07,90.9182437434064,-3.4,1.4287957e+10
CME,CME Group Inc.,257.34,256.8065546112494,-0.2,9.4016045e+10
CMS,CMS Energy Corporation,72.39,71.8500093367335,-0.7,4.1101877e+10
KO,The Coca-Cola Company,80.16,78.06360108825899,-2.6,3.6669427e+11
CTSH,Cognizant Technology Solutions Corporation,53.21,53.36478146300212,0.3,2.4816542e+10
COHR,Coherent Corp.,385.1601,422.3418441326527,9.7,8.362806e+10
COIN,"Coinbase Global, Inc.",148.395,201.12765873278576,35.5,4.226262e+10
CL,Colgate-Palmolive Company,89.17,94.19558275278634,5.6,8.19283e+10
